transaction_id,customer_id,transaction_amount,transaction_date,transaction_type,merchant_category,location
1,145,2230.36,2024-04-05 12:56:05,credit,grocery,Delhi
2,151,126636.84,2024-05-12 08:22:18,debit,travel,Chennai
3,150,82919.31,2024-04-25 01:14:07,debit,jewelry,Hyderabad
4,154,171301.99,2024-05-29 12:47:52,debit,pharmacy,Kolkata
5,145,223166.06,2024-05-02 19:29:47,credit,pharmacy,Chennai
6,182,257671.27,2024-05-17 17:43:32,debit,travel,Chennai
7,172,192415.5,2024-05-26 15:55:55,debit,jewelry,Ahmedabad
8,143,90088.29,2024-05-12 21:50:54,debit,grocery,Ahmedabad
9,148,4453.19,2024-05-06 03:12:01,debit,petrol,Kolkata
10,167,190283.92,2024-05-28 14:35:07,credit,pharmacy,Bangalore
11,145,263364.16,2024-04-26 18:30:37,debit,travel,Bangalore
12,119,166622.68,2024-04-12 17:06:14,credit,travel,Mumbai
13,148,254447.26,2024-05-28 18:47:05,debit,petrol,Bangalore
14,111,240297.86,2024-04-06 04:02:43,debit,electronics,Ahmedabad
15,194,236172.79,2024-04-23 17:55:53,credit,petrol,Kolkata
16,191,103008.51,2024-05-15 13:41:33,credit,restaurant,Mumbai
17,150,240875.18,2024-05-22 19:11:20,debit,restaurant,Mumbai
18,137,183560.07,2024-04-21 00:57:54,credit,electronics,Bangalore
19,177,209755.53,2024-04-25 09:21:07,credit,grocery,Ahmedabad
20,169,245301.96,2024-04-14 00:22:04,credit,electronics,Hyderabad
21,173,115668.25,2024-05-08 00:58:29,debit,grocery,Hyderabad
22,167,117645.76,2024-04-19 03:24:54,credit,petrol,Bangalore
23,145,104416.45,2024-04-20 16:18:49,credit,petrol,Kolkata
24,183,209000.24,2024-05-15 22:31:34,credit,jewelry,Hyderabad
25,164,263666.42,2024-05-12 16:09:54,debit,electronics,Mumbai
26,134,168904.45,2024-05-09 11:56:26,credit,restaurant,Mumbai
27,126,220983.53,2024-04-25 16:17:56,credit,pharmacy,Hyderabad
28,170,242560.07,2024-04-19 05:52:34,credit,jewelry,Chennai
29,182,77460.49,2024-04-06 20:23:54,debit,pharmacy,Hyderabad
30,117,39582.08,2024-05-20 00:14:04,debit,electronics,Bangalore
31,140,259026.49,2024-04-18 18:13:25,credit,travel,Bangalore
32,116,34094.0,2024-05-04 09:09:51,debit,electronics,Hyderabad
33,198,204551.75,2024-05-23 07:15:38,debit,petrol,Delhi
34,110,16513.66,2024-05-04 16:58:53,credit,restaurant,Pune
35,177,110797.07,2024-05-03 06:29:52,credit,jewelry,Ahmedabad
36,127,266765.98,2024-05-12 08:12:20,credit,petrol,Kolkata
37,159,166202.81,2024-04-09 04:24:45,debit,electronics,Chennai
38,121,193811.22,2024-04-27 01:28:01,debit,pharmacy,Kolkata
39,182,48152.19,2024-04-17 19:09:32,debit,restaurant,Delhi
40,110,275645.92,2024-05-29 06:23:28,debit,electronics,Bangalore
41,182,184032.63,2024-04-12 01:36:26,credit,restaurant,Bangalore
42,129,108221.33,2024-04-23 15:15:00,credit,restaurant,Mumbai
43,137,244284.03,2024-05-09 02:32:42,debit,restaurant,Ahmedabad
44,190,181352.53,2024-05-10 17:33:08,debit,restaurant,Bangalore
45,186,215243.68,2024-04-30 16:30:36,credit,jewelry,Mumbai
46,177,17325.79,2024-04-20 06:01:45,credit,petrol,Delhi
47,140,169824.25,2024-05-30 05:07:25,debit,restaurant,Kolkata
48,131,46925.68,2024-04-19 19:41:12,debit,jewelry,Delhi
49,154,157075.17,2024-04-17 15:10:45,credit,electronics,Chennai
50,145,262571.81,2024-04-11 02:03:04,debit,restaurant,Chennai
51,190,151547.17,2024-04-01 23:47:47,credit,jewelry,Ahmedabad
52,145,65592.16,2024-05-30 22:49:47,credit,pharmacy,Kolkata
53,126,118800.02,2024-05-21 05:10:48,debit,grocery,Chennai
54,114,264187.01,2024-05-17 12:50:21,debit,restaurant,Mumbai
55,114,129155.98,2024-05-24 16:38:02,credit,electronics,Mumbai
56,177,178777.89,2024-05-01 01:35:49,debit,petrol,Bangalore
57,182,123362.88,2024-05-14 17:11:30,credit,travel,Chennai
58,150,293052.92,2024-05-17 09:07:29,debit,pharmacy,Hyderabad
59,170,223701.04,2024-04-12 13:53:27,credit,electronics,Bangalore
60,184,15009.57,2024-05-22 08:27:49,debit,jewelry,Bangalore
61,193,121510.05,2024-05-10 19:46:18,debit,restaurant,Mumbai
62,127,23264.84,2024-04-12 00:28:58,debit,pharmacy,Bangalore
63,182,294908.58,2024-04-22 19:50:09,debit,restaurant,Hyderabad
64,172,11148.76,2024-04-18 19:17:05,credit,restaurant,Pune
65,184,191756.85,2024-04-30 13:41:18,debit,grocery,Hyderabad
66,114,90201.98,2024-05-28 08:39:39,credit,travel,Bangalore
67,137,237601.6,2024-05-02 22:56:17,debit,travel,Chennai
68,102,18272.21,2024-04-19 16:56:31,credit,restaurant,Pune
69,137,128104.56,2024-04-26 12:35:55,credit,electronics,Chennai
70,126,19995.58,2024-04-05 14:10:14,credit,pharmacy,Bangalore
71,101,48194.16,2024-05-08 01:06:02,credit,restaurant,Ahmedabad
72,117,146464.56,2024-04-18 12:37:41,debit,grocery,Hyderabad
73,182,10437.16,2024-04-17 22:12:20,credit,petrol,Chennai
74,105,83053.52,2024-05-02 22:24:40,debit,restaurant,Pune
75,149,169470.54,2024-05-04 22:50:26,credit,electronics,Pune
76,105,33597.04,2024-05-09 06:13:21,debit,travel,Chennai
77,143,67313.7,2024-04-12 06:31:03,credit,travel,Kolkata
78,183,75652.27,2024-04-14 20:50:04,credit,travel,Kolkata
79,180,22352.9,2024-05-05 00:10:04,credit,jewelry,Chennai
80,134,149642.46,2024-05-21 03:19:25,debit,pharmacy,Kolkata
81,182,260170.89,2024-04-05 04:09:50,credit,grocery,Kolkata
82,119,149803.14,2024-05-04 11:55:42,debit,jewelry,Chennai
83,177,65030.93,2024-04-28 11:56:57,credit,grocery,Mumbai
84,122,142207.81,2024-05-07 08:58:46,debit,petrol,Kolkata
85,170,192522.34,2024-05-16 21:36:55,debit,electronics,Mumbai
86,111,239046.94,2024-04-17 09:25:33,debit,electronics,Bangalore
87,126,72677.05,2024-05-20 02:57:03,debit,restaurant,Chennai
88,101,254099.91,2024-05-03 05:56:24,credit,jewelry,Pune
89,181,155139.17,2024-05-30 18:44:46,debit,grocery,Pune
90,177,156125.5,2024-05-31 12:12:59,credit,restaurant,Mumbai
91,126,179098.75,2024-05-12 02:43:48,credit,electronics,Kolkata
92,197,115379.0,2024-05-20 18:52:44,debit,travel,Chennai
93,140,261019.88,2024-05-05 14:36:39,credit,grocery,Pune
94,182,163915.51,2024-04-14 08:19:37,debit,pharmacy,Chennai
95,193,153101.29,2024-05-16 00:16:55,debit,petrol,Bangalore
96,191,140494.41,2024-05-19 18:36:14,debit,restaurant,Kolkata
97,139,243143.67,2024-05-12 22:16:11,debit,restaurant,Hyderabad
98,129,74066.33,2024-05-18 12:57:08,credit,jewelry,Ahmedabad
99,143,49352.3,2024-05-12 09:31:54,debit,electronics,Bangalore
100,177,252500.69,2024-05-01 18:34:40,credit,restaurant,Chennai
101,193,119976.84,2024-04-23 12:19:57,debit,electronics,Bangalore
102,193,293242.47,2024-05-27 11:37:45,credit,petrol,Mumbai
103,167,232252.73,2024-05-19 11:47:48,debit,petrol,Bangalore
104,167,247549.01,2024-04-27 13:30:09,credit,pharmacy,Kolkata
105,182,36731.77,2024-04-17 04:02:56,credit,petrol,Ahmedabad
106,176,16728.19,2024-05-06 19:07:00,debit,electronics,Ahmedabad
107,177,144628.2,2024-05-05 20:15:15,debit,restaurant,Kolkata
108,140,66430.47,2024-04-17 02:06:59,credit,jewelry,Mumbai
109,101,89505.1,2024-04-28 20:19:31,credit,electronics,Bangalore
110,193,258167.84,2024-04-04 12:43:27,credit,travel,Hyderabad
111,116,120116.61,2024-05-24 19:16:21,credit,restaurant,Mumbai
112,186,200286.0,2024-05-05 03:37:35,credit,jewelry,Ahmedabad
113,143,120774.9,2024-04-22 05:33:28,credit,travel,Bangalore
114,121,162676.9,2024-05-13 21:58:48,credit,petrol,Ahmedabad
115,129,201062.18,2024-05-07 10:17:52,credit,grocery,Mumbai
116,193,297611.44,2024-05-03 06:41:47,credit,restaurant,Mumbai
117,131,53907.42,2024-04-04 00:46:11,credit,petrol,Delhi
118,169,168930.77,2024-05-19 07:49:54,debit,travel,Kolkata
119,139,45821.81,2024-05-04 17:05:02,debit,jewelry,Chennai
120,119,196720.99,2024-04-14 18:30:25,credit,grocery,Chennai
121,137,99568.31,2024-04-15 08:32:37,credit,petrol,Chennai
122,198,205592.42,2024-04-06 04:59:41,debit,petrol,Delhi
123,186,90707.58,2024-05-19 14:29:46,debit,petrol,Ahmedabad
124,165,112472.31,2024-05-17 00:42:15,credit,travel,Ahmedabad
125,149,31674.3,2024-04-28 18:42:11,debit,pharmacy,Mumbai
126,186,102962.32,2024-05-29 00:32:50,debit,petrol,Mumbai
127,105,215781.52,2024-05-16 05:39:15,debit,jewelry,Bangalore
128,180,265533.18,2024-04-03 00:28:34,debit,travel,Delhi
129,151,109735.97,2024-05-21 03:57:34,credit,pharmacy,Chennai
130,177,298994.39,2024-05-10 17:36:25,debit,jewelry,Ahmedabad
131,198,266792.06,2024-05-25 20:43:40,credit,electronics,Hyderabad
132,172,99227.63,2024-04-05 18:33:02,credit,grocery,Kolkata
133,137,179431.99,2024-05-08 11:22:31,debit,grocery,Kolkata
134,117,104324.64,2024-04-26 08:19:14,debit,petrol,Delhi
135,143,277207.75,2024-04-03 08:59:17,credit,pharmacy,Kolkata
